"Half","Time","Team","Player","Event Description","Sequence ID"
"2H","38:07","Crystal Palace","W. Hennessey","Goal kick","2500032-91-CryPal-0"
"2H","38:12","Liverpool","J. Matip","Air duel","2500032-91-Liv-0"
"2H","38:12","Crystal Palace","C. Benteke","Air duel","2500032-91-CryPal-0"
"2H","38:15","Liverpool","L. Karius","Hand pass","2500032-91-Liv-0"
"2H","38:18","Liverpool","V. van Dijk","Touch","2500032-91-Liv-0"
"2H","38:22","Liverpool","V. van Dijk","Simple pass","2500032-91-Liv-0"
"2H","38:23","Liverpool","J. Milner","High pass","2500032-91-Liv-0"
"2H","38:27","Liverpool","T. Alexander-Arnold","Simple pass","2500032-91-Liv-0"
"2H","38:30","Liverpool","A. Oxlade-Chamberlain","Touch","2500032-91-Liv-0"
"2H","38:31","Liverpool","T. Alexander-Arnold","Simple pass","2500032-91-Liv-0"
"2H","38:32","Liverpool","J. Henderson","Simple pass","2500032-91-Liv-0"
"2H","38:34","Liverpool","A. Oxlade-Chamberlain","Acceleration","2500032-91-Liv-0"
"2H","38:37","Crystal Palace","W. Zaha","Ground defending duel","2500032-91-CryPal-1"
"2H","38:37","Liverpool","A. Oxlade-Chamberlain","Ground attacking duel","2500032-91-Liv-0"
"2H","38:39","Liverpool","A. Oxlade-Chamberlain","Cross","2500032-91-Liv-0"
"2H","38:41","Liverpool","A. Robertson","Cross","2500032-91-Liv-0"
"2H","38:42","Liverpool","Roberto Firmino","Touch","2500032-91-Liv-0"
"2H","38:43","Liverpool","Mohamed Salah","Goal","2500032-91-Liv-0"
